representation,regime,seed,delta_azimuth,delta_elevation,sun_elevation,transform_kind,fit_model,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,inlier_ratio,fit_rmse,coverage_max_gap,coverage_occupancy,coverage_entropy,true_inlier_precision,transform_error_median,transform_error_p90,is_wrong,flag_n_inliers_le_8,detect_describe_s,match_s,ransac_s,pipeline_s
A_orient_2pi_control,A_highlands_moderate,3003,36.0,0.0,45.0,affine,affine,1.0,1525,1278,55,54,0.9818181818181818,1.0026131815353545,0.16720494132804176,0.5483870967741935,0.821812563808209,1.0,0.11047453875990391,0.19513396023833302,False,False,0.8733276000712067,0.04034409997984767,0.11613260000012815,1.0298043000511825
B_phase_congruency,A_highlands_moderate,3003,36.0,0.0,45.0,affine,affine,1.0,1569,1161,9,6,0.6666666666666666,0.5763196335728418,0.3305240505673865,0.08064516129032258,0.37815836932684577,1.0,1.0737440665094984,2.5341596915420164,False,True,2.2155675999820232,0.03581769997254014,0.11184749996755272,2.363232799922116
C_rift2_mim,A_highlands_moderate,3003,36.0,0.0,45.0,affine,affine,1.0,1569,1161,5,3,0.6,3.2818563180946156e-14,0.49985417252775116,0.04838709677419355,0.2661925166888178,0.0,270.3419360084563,483.8066888288965,True,True,0.3560116000007838,0.061479699914343655,0.1119757000124082,0.5294669999275357
B1_rootsift,A_highlands_moderate,3003,40.0,0.0,45.0,affine,affine,1.0,1525,1603,3,3,1.0,1.0378140918593055e-13,0.5774266145803244,0.046875,0.26416041678685936,0.3333333333333333,334.97727823244156,628.890237853318,True,True,0.16198109998367727,0.049367700004950166,0.10666519997175783,0.31801399996038526
B1_sift,A_highlands_moderate,3003,40.0,0.0,45.0,affine,affine,1.0,1525,1603,7,3,0.42857142857142855,8.20464079523654e-14,0.4876019580434919,0.046875,0.26416041678685936,0.3333333333333333,278.81556946839964,581.4341465461459,True,True,0.1563632000470534,0.05353639996610582,0.10451069998089224,0.31441029999405146
A_orient_mod_pi,A_highlands_moderate,3003,40.0,0.0,45.0,affine,affine,1.0,1525,1603,0,0,0.0,nan,1.0,0.0,0.0,nan,nan,nan,True,True,0.9741542999399826,0.02448490005917847,5.110003985464573e-05,0.9986903000390157
A_orient_2pi_control,A_highlands_moderate,3003,40.0,0.0,45.0,affine,affine,1.0,1525,1603,8,8,1.0,0.7303703059325894,0.42333931185287943,0.078125,0.375,1.0,0.6052293254776981,1.3910394981012026,False,True,0.8020515999523923,0.05090949998702854,0.10685350000858307,0.9598145999480039
B_phase_congruency,A_highlands_moderate,3003,40.0,0.0,45.0,affine,affine,1.0,1569,1664,4,3,0.75,7.349911209636134e-14,0.6151678893749702,0.046875,0.26416041678685936,0.0,227.1997285794464,413.43143580833805,True,True,2.071516099967994,0.052757900091819465,0.08578330010641366,2.210057300166227
C_rift2_mim,A_highlands_moderate,3003,40.0,0.0,45.0,affine,affine,1.0,1569,1664,6,3,0.5,2.9353815278586935e-13,0.6910027561651095,0.03125,0.15304930567574826,0.3333333333333333,632.1718717859274,1497.0623403670174,True,True,0.33857509994413704,0.08106160000897944,0.09909849998075515,0.5187351999338716
B1_rootsift,A_highlands_moderate,3003,45.0,0.0,45.0,affine,affine,1.0,1525,1525,3,3,1.0,1.4399086157909044e-13,0.6917604926635154,0.046875,0.26416041678685936,0.0,610.9399754609941,1336.0814592263405,True,True,0.14482129993848503,0.04591800004709512,0.10150739992968738,0.2922466999152675
