group,label,scene,model,root_sift,delta_azimuth_deg,delta_elevation_deg,sun_elevation_src,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,reported_inlier_ratio,reported_fit_rmse,true_putative_precision,true_inlier_precision,true_inlier_recall,true_error_median,true_error_p90,transform_error_median,transform_error_p90,transform_error_max,confidence_gap,coverage_max_gap_ratio,coverage_occupancy,coverage_entropy,failure_mode,gen_s,detect_s,match_s,ransac_s,pipeline_s
C_scale,scale=3.0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,325,218,205,0.9403669724770642,0.6994834419807042,0.9357798165137615,0.9951219512195122,1.0,0.7406297156586443,1.1650789632633338,1.2769628721376551,2.2559190578762087,3.171795204230378,-0.054754978742447946,0.04632242666262274,1.0,0.8362228031699914,none,4.98079850000795,0.09339370008092374,0.012157800025306642,0.08723269996698946,0.19278420007321984
C_scale,scale=4.0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,178,133,129,0.9699248120300752,0.4833956740453387,0.9699248120300752,1.0,1.0,1.0865398599973384,1.4473063284539678,1.1081978225651956,1.2695781350520141,1.4968332802387327,-0.03007518796992481,0.04154696755113798,1.0,0.9962540662024778,none,4.979462600080296,0.093770100036636,0.008401499944739044,0.08817490004003048,0.19034650002140552
D_scene,highlands/same_sun,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,2856,2027,2023,0.9980266403552047,0.6158559792272245,0.9970399605328071,0.9990113692535838,1.0,0.21011381195864043,0.6616668046447794,0.35897706894387194,0.5559886326121256,0.6749583156985446,-0.0009847288983790836,0.047037478823407405,1.0,0.9899381566029432,none,4.966034200042486,0.11908009997569025,0.09134140005335212,0.18674469995312393,0.3971661999821663
D_scene,highlands/d_az=60,highlands,affine,True,60.0,0.0,45.0,0.0,1.0,2890,2823,22,4,0.18181818181818182,0.681209747987249,0.0,0.0,0.0,211.80890790499024,243.64068900280026,210.9958175376279,323.42230746287294,407.7105536210057,0.18181818181818182,0.41311248621838,0.0625,0.33333333333333337,no_model_found,4.9435334000736475,0.11677050008438528,0.08588129992131144,0.3967716000042856,0.5994234000099823
D_scene,mare/same_sun,mare,affine,True,0.0,0.0,45.0,0.0,1.0,1523,1514,1102,1101,0.9990925589836661,0.46633769661091823,0.9981851179673321,0.9990917347865577,1.0,0.24318083160612305,0.6983730251899725,0.019723777018838564,0.03982996909373891,0.04948661531200136,8.241971084510524e-07,0.0540207683044505,1.0,0.9870400376916436,none,4.9662095999810845,0.0935875999275595,0.026814699987880886,0.176614600000903,0.2970168999163434
D_scene,mare/d_az=60,mare,affine,True,60.0,0.0,45.0,0.0,1.0,1523,1549,2,0,0.0,nan,0.0,0.0,0.0,inf,inf,inf,inf,inf,0.0,1.0,0.0,0.0,too_few_putative_matches,5.024057199945673,0.09422510000877082,0.027450299938209355,4.299997817724943e-05,0.12171839992515743
D_scene,repetitive/same_sun,repetitive,affine,True,0.0,0.0,45.0,0.0,1.0,494,509,353,352,0.9971671388101983,0.5404499871015218,0.9971671388101983,1.0,1.0,0.29904781794691615,0.8705243023463731,0.11837790015385653,0.21686764675845974,0.28696650742558544,-0.0028328611898017497,0.09576289587602548,0.953125,0.9651831821856379,none,4.977291199960746,0.07421649992465973,0.004436600022017956,0.10816229996271431,0.186815399909392
D_scene,repetitive/d_az=60,repetitive,affine,True,60.0,0.0,45.0,0.0,1.0,494,522,15,3,0.2,0.0,0.0,0.0,0.0,70.49440177853397,175.329317671856,818.0968633963278,2046.8444383826532,2407.077190154212,0.2,0.5099190082939948,0.046875,0.26416041678685936,no_model_found,4.952591499895789,0.07498579996172339,0.0038512999890372157,0.29943030001595616,0.37826739996671677
D_scene,mixed/same_sun,mixed,affine,True,0.0,0.0,45.0,0.0,1.0,2034,2037,1433,1430,0.9979064898813678,0.4572800836882419,0.9972086531751571,0.9993006993006993,1.0,0.22124540311167742,0.6656558461991889,0.02057157527211774,0.040560811699423494,0.05147726485825713,-0.001394209419331549,0.05414420420167621,1.0,0.9796740094503681,none,5.005044399993494,0.10494099999777973,0.04643929994199425,0.17214050004258752,0.3235207999823615
D_scene,mixed/d_az=60,mixed,affine,True,60.0,0.0,45.0,0.0,1.0,2034,1940,10,4,0.4,9.094947017729282e-13,0.0,0.0,0.0,422.3083241583181,449.5667998452934,2422.5582341863956,5638.635862902326,8212.18216370005,0.4,0.6326572557452181,0.046875,0.25,no_model_found,4.959158300072886,0.10171240009367466,0.042663800064474344,0.05298779997974634,0.19736400013789535
