kind,seed,n_points,held_out_median,held_out_p90,held_out_ok,split_consistency,true_transform_error,is_wrong,part,split
correct_noisy,7152,300,1.4673925273213415,2.5690834108015004,True,0.6530386210490666,0.0,False,A,validation
clustered_correct,7164,300,0.47662640436471804,0.8352252193413403,True,0.11852281065162043,0.0,False,A,validation
lattice_shift,7173,300,0.49194729965933826,0.8835978117492865,True,0.08367322035604721,64.0,True,A,validation
repeated_texture,7102,202,0.48738270667159317,0.8352432910942479,True,0.26144449852099283,64.0,True,A,validation
coherent_affine,7162,300,0.47494201207663445,0.876011464222379,True,0.1666117889517777,52.70999014376441,True,A,validation
partial_overlap,7114,300,0.42697278785222237,0.8585558346441344,True,0.5401381000102994,21.142121256222413,True,A,validation
low_inlier_degenerate,7169,4,inf,inf,False,inf,525.3602557460673,True,A,validation
correct,7144,300,0.4293549128994737,0.8328874747561081,True,0.14469440789506094,0.0,False,A,validation
correct_noisy,7175,300,1.4016874849242782,2.5278935419455397,True,0.3399367106696193,0.0,False,A,validation
clustered_correct,7187,300,0.4653459145686434,0.8629993402440839,True,0.4969398223130318,0.0,False,A,validation
lattice_shift,7196,300,0.46131467839178336,0.8687562714771753,True,0.12377827026382082,64.0,True,A,validation
repeated_texture,7125,179,0.4781668159349184,0.8129247021272524,True,0.2907332298685381,64.0,True,A,validation
coherent_affine,7185,300,0.47798052520013723,0.8926734694755207,True,0.1905976865583454,52.70999014376441,True,A,validation
partial_overlap,7137,300,0.5095718597252313,0.9401709052632323,True,0.7881209707749934,21.142121256222413,True,A,validation
low_inlier_degenerate,7192,4,inf,inf,False,inf,333.4670472206798,True,A,validation
correct,7167,300,0.4772865577640777,0.8925020644079157,True,0.18648842739512503,0.0,False,A,validation
correct_noisy,7198,300,1.4287866848054085,2.556763750252693,True,0.5349827494529416,0.0,False,A,validation
clustered_correct,7210,300,0.45892303623435615,0.812678290502147,True,0.22365008503391598,0.0,False,A,validation
lattice_shift,7219,300,0.45745453219031895,0.8698968800265199,True,0.22268400557818221,64.0,True,A,validation
repeated_texture,7148,201,0.4559422688756726,0.8526121131671743,True,0.1483817360175062,64.0,True,A,validation
coherent_affine,7208,300,0.49133866847943486,0.8518350481823246,True,0.1786475822796596,52.70999014376441,True,A,validation
partial_overlap,7160,300,0.5241337403724013,0.9514926212212411,True,0.641787957353102,21.142121256222413,True,A,validation
low_inlier_degenerate,7215,4,inf,inf,False,inf,285.8964307656105,True,A,validation
correct,7190,300,0.49522072799532135,0.8957117576368946,True,0.14164159648271013,0.0,False,A,validation
correct_noisy,7221,300,1.4263441449600904,2.681034322270512,True,0.5136748122081551,0.0,False,A,validation
clustered_correct,7233,300,0.49677542167216343,0.867347803519001,True,0.5130010297451302,0.0,False,A,validation
lattice_shift,7242,300,0.48571743868026995,0.8433319267953915,True,0.1328645460012467,64.0,True,A,validation
repeated_texture,7171,193,0.4869378730637996,0.8681139331747872,True,0.07804215119434577,64.0,True,A,validation
coherent_affine,7231,300,0.42693545801464805,0.8445051535432833,True,0.1789267593529843,52.70999014376441,True,A,validation
partial_overlap,7183,300,0.4680687411231787,0.8182931752078388,True,0.8290511259375224,21.142121256222413,True,A,validation
low_inlier_degenerate,7238,4,inf,inf,False,inf,395.2985988968913,True,A,validation
correct,7213,300,0.48373813309441976,0.8606652187068703,True,0.05706401392710593,0.0,False,A,validation
correct_noisy,7244,300,1.3616494569950213,2.319281164767392,True,0.477347851865083,0.0,False,A,validation
clustered_correct,7256,300,0.4774134230176913,0.8367742987503196,True,0.41534682737921935,0.0,False,A,validation
lattice_shift,7265,300,0.5029341255792533,0.8777273485655915,True,0.2186263981350613,64.0,True,A,validation
repeated_texture,7194,194,0.45776889691801936,0.9107968822779421,True,0.26938452998408546,64.0,True,A,validation
coherent_affine,7254,300,0.4840410672763535,0.8453007609154131,True,0.06521619164137615,52.70999014376441,True,A,validation
partial_overlap,7206,300,0.4464167769318036,0.8635023499768916,True,0.22125029958033124,21.142121256222413,True,A,validation
low_inlier_degenerate,7261,4,inf,inf,False,inf,184.11226998041093,True,A,validation
correct,7236,300,0.4742820532710219,0.8454374040040721,True,0.13202551979034133,0.0,False,A,validation
correct_noisy,7267,300,1.4046255593747556,2.583894583752577,True,0.36704185196699946,0.0,False,A,validation
clustered_correct,7279,300,0.4482367962384658,0.8771721141783005,True,0.3612798855414866,0.0,False,A,validation
lattice_shift,7288,300,0.4716168939672345,0.9052888983499622,True,0.14416312919860155,64.0,True,A,validation
repeated_texture,7217,196,0.4697200641903533,0.8511738983655788,True,0.28597350273041056,64.0,True,A,validation
coherent_affine,7277,300,0.4701107539026139,0.8334548863375391,True,0.14975992951512596,52.70999014376441,True,A,validation
partial_overlap,7229,300,0.4669285726768123,0.8352832769492348,True,0.35109122908999035,21.142121256222413,True,A,validation
low_inlier_degenerate,7284,4,inf,inf,False,inf,224.18249349538524,True,A,validation
correct,7259,300,0.5387383785723832,0.927292589344123,True,0.16703692271266674,0.0,False,A,validation
correct_noisy,7290,300,1.375482003907701,2.4615962152438744,True,0.5437361902668401,0.0,False,A,validation
clustered_correct,7302,300,0.4636348223462071,0.8454799362160146,True,0.2995784538454864,0.0,False,A,validation
