label,regime,seed,transform_kind,fit_model,scale,delta_azimuth,delta_elevation,sun_elevation,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,inlier_ratio,fit_rmse,held_out_median,held_out_p90,held_out_ok,split_consistency,coverage_max_gap,coverage_occupancy,coverage_entropy,true_inlier_precision,true_putative_precision,transform_error_median,transform_error_p90,is_wrong,gen_s,pipeline_s,ransac_s,split
projective/d_az=20,A_highlands_moderate,7002,projective,projective,1.0,20.0,0.0,45.0,0.0,1.0,1469,1681,64,58,0.90625,1.0891284568839015,0.9328703757716048,1.791311117854463,True,0.7613152874495612,0.21516311490500645,0.53125,0.8124808842205324,1.0,0.921875,0.25145736297001253,0.39451483924177144,False,0.2894319000188261,0.206475600018166,0.0461281999014318,validation
similarity/d_az=40,A_highlands_moderate,7002,similarity,similarity,1.0,40.0,0.0,45.0,0.0,1.0,1469,1614,4,2,0.5,6.961868572213855e-14,inf,inf,False,inf,0.49558940625482895,0.03125,0.16666666666666669,0.0,0.0,313.7146303781833,501.002984538319,True,0.28194060001987964,0.15093929995782673,0.034972600056789815,validation
affine/d_az=40,A_highlands_moderate,7002,affine,affine,1.0,40.0,0.0,45.0,0.0,1.0,1469,1599,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.28081830008886755,0.1347631000680849,3.0399998649954796e-05,validation
projective/d_az=40,A_highlands_moderate,7002,projective,projective,1.0,40.0,0.0,45.0,0.0,1.0,1469,1633,4,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.28243989998009056,0.1814003000035882,0.0405882999766618,validation
similarity/d_az=60,A_highlands_moderate,7002,similarity,similarity,1.0,60.0,0.0,45.0,0.0,1.0,1469,1712,4,3,0.75,1.0115360521497328e-13,inf,inf,False,inf,0.7797142022537364,0.03125,0.15304930567574826,0.0,0.0,664.6566043064331,1066.4661548237873,True,0.2876288000261411,0.16527900006622076,0.035172299947589636,validation
affine/d_az=60,A_highlands_moderate,7002,affine,affine,1.0,60.0,0.0,45.0,0.0,1.0,1469,1673,5,3,0.6,2.100388043580554e-12,inf,inf,False,inf,0.7558411500996938,0.03125,0.15304930567574826,0.0,0.0,8784.259949307529,16264.769982976282,True,0.28165340004488826,0.16364219994284213,0.0458008999703452,validation
projective/d_az=60,A_highlands_moderate,7002,projective,projective,1.0,60.0,0.0,45.0,0.0,1.0,1469,1699,6,5,0.8333333333333334,4.758022511587733e-12,inf,inf,False,inf,0.6707056401824645,0.03125,0.16182509907577813,0.0,0.0,236.07305833764258,453.5890318640688,True,0.29344540007878095,0.18443759996443987,0.042633699951693416,validation
similarity/d_az=0,A_highlands_moderate,7003,similarity,similarity,1.0,0.0,0.0,45.0,0.0,1.0,1458,1471,1054,1054,1.0,0.32885122330771294,0.1615888280041205,0.4989536937040602,True,0.015023238587957352,0.05211587525049349,1.0,0.9839678369383907,1.0,1.0,0.021847806033099756,0.025256789856764415,False,1.3213586000492796,0.17684079997707158,0.0424879000056535,validation
affine/d_az=0,A_highlands_moderate,7003,affine,affine,1.0,0.0,0.0,45.0,0.0,1.0,1458,1465,1032,1032,1.0,0.3670229265899655,0.18082354451559846,0.5329309804459433,True,0.03338757203468982,0.0486149862046731,1.0,0.9832469466907461,1.0,1.0,0.02272390163764577,0.02839176560871215,False,0.2700370999518782,0.18971559999044985,0.052335600019432604,validation
projective/d_az=0,A_highlands_moderate,7003,projective,projective,1.0,0.0,0.0,45.0,0.0,1.0,1458,1492,1074,1073,0.9990689013035382,0.33206243663131724,0.16693819767313703,0.49312262007646485,True,0.11340100170256973,0.04892784955222901,1.0,0.9860934800555328,1.0,0.9990689013035382,0.02891212400994475,0.04137880419694416,False,0.26972660003229976,0.17300819989759475,0.05495859996881336,validation
