arm,arm_wall_s,coverage_max_uncovered_disc_ratio,coverage_occupancy,decimation,delta_incidence_deg,edge,exploratory,fit_rmse_is_not_accuracy,fit_rmse_px,gsd_m,inlier_ratio,label,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pass,recorded_n_inliers,reproduces_recorded,shape,target,tier,wall_s
photometric_hapke,16.557910699979402,0.06473290621801785,0.984375,16,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.22000143175821432,14.16,0.9978197674418605,B -> C,1373,False,2197,2350,1376,True,,,"[768, 316]",RD03-target,tier2,0.568393399938941
dem_render_b1,3.318994399975054,,,16,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,,,14.16,,B -> C,3,True,,,,False,,,"[768, 316]",RD03-target,tier2,
dem_render_lg,37.8928855000413,,,16,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,,,14.16,,B -> C,0,True,,,,False,,,"[768, 316]",RD03-target,tier2,
learned_lg,29.545049400010612,0.11695643446569212,0.9375,16,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.8871248891990142,14.16,0.998113919275745,B -> C,2646,False,3245,3282,2651,True,,,"[768, 316]",RD03-target,tier2,11.21902359998785
photometric_ls_pixel,15.336294699984137,0.27754788202801073,0.171875,16,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,True,True,0.7243552889111976,14.16,0.425,B -> C,17,False,2524,2779,40,True,,,"[768, 316]",RD03-target,tier2,0.6367964999517426
none,17.733707599982154,0.2935948686096413,0.09375,16,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,0.657828810460541,14.28,0.375,C -> A,6,True,3068,2197,16,False,,,"[768, 316]",RD03-target,tier2,0.8310306000057608
photometric_ls,18.38008789997548,0.2935948686096413,0.09375,16,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,0.657828810460541,14.28,0.375,C -> A,6,True,3068,2197,16,False,,,"[768, 316]",RD03-target,tier2,1.0787771000759676
photometric_hapke,16.631756199989468,0.2935948686096413,0.09375,16,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,0.657828810460541,14.28,0.375,C -> A,6,True,3068,2197,16,False,,,"[768, 316]",RD03-target,tier2,0.6628804000210948
dem_render_b1,2.2769656000309624,,,16,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,,,14.28,,C -> A,0,True,,,,False,,,"[768, 316]",RD03-target,tier2,
dem_render_lg,22.729652100009844,,,16,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,,,14.28,,C -> A,0,True,,,,False,,,"[768, 316]",RD03-target,tier2,
learned_lg,35.86604629998328,0.11730304616604365,0.84375,16,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,1.3822902206903012,14.28,0.9505102040816327,C -> A,1863,False,3584,3245,1960,True,,,"[768, 316]",RD03-target,tier2,16.699610899959225
photometric_ls_pixel,17.761362500023097,0.3555286902299381,0.046875,16,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,True,True,1.151576212155989e-13,14.28,0.21428571428571427,C -> A,3,True,3190,2524,14,False,,,"[768, 316]",RD03-target,tier2,1.93681420001667
none,22.114207400009036,0.8950397536077493,0.046875,32,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,7.338453819646734e-14,29.52,0.6,A -> B,3,True,945,1002,5,False,,,"[384, 158]",RD03-target,tier2,0.763621799997054
photometric_ls,14.527668400027324,0.8950397536077493,0.046875,32,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,7.338453819646734e-14,29.52,0.6,A -> B,3,True,945,1002,5,False,,,"[384, 158]",RD03-target,tier2,0.23425379995023832
photometric_hapke,18.53335270000389,0.8950397536077493,0.046875,32,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,7.338453819646734e-14,29.52,0.6,A -> B,3,True,945,1002,5,False,,,"[384, 158]",RD03-target,tier2,0.42037540004821494
dem_render_b1,2.1900466999504715,,,32,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,29.52,,A -> B,0,True,,,,False,,,"[384, 158]",RD03-target,tier2,
dem_render_lg,5.669430800015107,,,32,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,29.52,,A -> B,0,True,,,,False,,,"[384, 158]",RD03-target,tier2,
learned_lg,18.929138499952387,0.1839455949585405,0.75,32,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.3031364412752668,29.52,0.9587242026266416,A -> B,511,False,882,936,533,True,,,"[384, 158]",RD03-target,tier2,4.0888367999577895
